answer,rule,snomedIdentifierPropagated,snomedIdentifier
5,4,241210005,363680008
5,4,27483000,363680008
5,4,33450004,363680008
5,5,281619000,363680008
5,5,709622008,363680008
5,5,433852002,363680008
1,3,432381000.0,57019003
1,3,722521002.0,57019003
1,3,63440008.0,57019003
1,5,722521002.0,57019003
1,5,419266001.0,57019003
1,5,399599006.0,57019003
2,3,1089681000119104,60442001
2,3,40723007,60442001
2,3,1091641000119109,60442001
2,5,1090971000119101,60442001
2,5,40723007,60442001
2,5,1089681000119104,60442001
1,3,307405000,230558006
2,3,106160007,230558006
1,3,16058311000119100,230558006
1,5,4463009,230558006
3,5,128206006,230558006
1,5,398229007,230558006
1,6,230559003,230558006
4,6,230558006,230558006
1,6,128205005,230558006
5,3,827087002.0,386831001
5,3,22546005.0,386831001
1,3,446723003.0,386831001
5,5,22546005.0,386831001
5,5,443290002.0,386831001
1,5,446723003.0,386831001
1,3,31798004.0,398114001
1,3,718211004.0,398114001
1,3,773276004.0,398114001
1,5,720861000.0,398114001
1,5,83470009.0,398114001
1,5,71322004.0,398114001
1,3,88196000.0,58150001
1,3,52784000.0,58150001
1,3,56642004.0,58150001
1,5,206209004.0,58150001
1,5,58150001.0,58150001
1,5,88196000.0,58150001
1,1,408593002,121276004
1,1,121979001,121276004
1,1,117846007,121276004
